TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest.testEndpointContextWhenReconnectAfterTimeout,2,29,13,1,1,0.21,100,262,0,27,32,6,5,0.46,0.55
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest.testServerSendingEndpointContext,2,32,13,1,1,0.19,105,295,0,26,42,7,5,0.38,0.58
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest.testSingleClientManyServersEndpointContext,2,28,12,1,1,0.21,117,258,0,28,29,7,4,0.49,0.64
org.eclipse.californium.elements.tcp.netty.TlsConnectorTest.pingPongMessage,2,38,17,1,1,0.12,87,428,0,15,63,1,8,0.19,0.11
org.eclipse.californium.elements.tcp.netty.TlsConnectorTest.singleClientManyServers,2,41,18,1,1,0.13,102,411,0,15,61,1,8,0.2,0.11
org.eclipse.californium.elements.tcp.netty.TlsConnectorTest.singleServerManyClients,2,35,16,1,1,0.14,95,393,0,15,61,1,8,0.2,0.11
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSendingCorrelationContext,2,36,16,1,1,0.14,110,395,0,26,55,6,5,0.32,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSideServerPrincipal,2,38,17,1,1,0.12,91,428,0,26,57,6,5,0.31,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSideServerWithBrokenCertificate,2,27,14,1,1,0.2,104,286,0,17,48,6,1,0.26,0.86
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSideTrustAllServerBrokenChain,2,27,14,1,1,0.2,113,286,0,17,48,6,1,0.26,0.86
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSideTrustAllServerSelfSigned,2,34,16,1,1,0.15,130,369,0,26,55,6,5,0.32,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSideTrustAllServerWithNoneSigningCertificate,2,27,14,1,1,0.2,115,286,0,17,48,6,1,0.26,0.86
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testClientSideTrustAllServerWithWrongKeyUsage,2,27,14,1,1,0.2,115,286,0,17,48,6,1,0.26,0.86
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testCorrelationContext,2,38,17,1,1,0.12,115,428,0,26,57,6,5,0.31,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testCorrelationContextWhenReconnectAfterStopStart,2,35,16,1,1,0.17,114,393,0,26,55,6,5,0.32,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testCorrelationContextWhenReconnectAfterTimeout,2,35,16,1,1,0.14,102,393,0,26,55,6,5,0.32,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testServerSendingCorrelationContext,2,39,17,1,1,0.13,114,430,0,26,57,6,5,0.31,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testServerSideClientPrincipal,2,35,16,1,1,0.14,89,393,0,26,55,6,5,0.32,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testServerSideClientWithBrokenCertificate,2,27,14,1,1,0.2,104,286,0,17,48,6,1,0.26,0.86
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testServerSideTrustAllClientSelfSigned,2,35,16,1,1,0.14,129,393,0,26,55,6,5,0.32,0.55
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest.testServerSideTrustAllClientWithNoneSigningCertificate,2,27,14,1,1,0.2,115,286,0,17,48,6,1,0.26,0.86
org.eclipse.californium.elements.TcpEndpointContextMatcherTest.testWithConnectorEndpointContext,2,17,8,1,1,0,64,104,1,17,30,0,2,0.36,0
org.eclipse.californium.elements.TcpEndpointContextMatcherTest.testWithoutConnectorEndpointContext,2,11,6,1,1,0,63,71,0,10,24,0,2,0.29,0
org.eclipse.californium.elements.TlsEndpointContextMatcherTest.testWithConnectorEndpointContext,2,21,10,1,1,0,64,129,1,17,33,0,2,0.34,0
org.eclipse.californium.elements.TlsEndpointContextMatcherTest.testWithoutConnectorEndpointContext,2,11,6,1,1,0,63,71,0,10,24,0,2,0.29,0
org.eclipse.californium.elements.UDPConnectorTest.testLargestDatagramIsReceived,2,36,15,3,1,0.21,339,328,1,37,99,5,6,0.27,0.45
org.eclipse.californium.elements.UDPConnectorTest.testMessageCallbackOnContextEstablished,2,39,16,3,1,0.19,373,345,1,37,100,5,6,0.27,0.45
org.eclipse.californium.elements.UDPConnectorTest.testMessageCallbackOnError,2,32,15,4,1,0.22,313,313,1,37,101,5,6,0.27,0.45
org.eclipse.californium.elements.UDPConnectorTest.testMessageCallbackOnSent,2,39,16,3,1,0.19,373,345,1,37,100,5,6,0.27,0.45
org.eclipse.californium.elements.UDPConnectorTest.testMessageToPortZeroFails,2,27,12,3,1,0.26,308,269,1,30,97,0,6,0.24,0
org.eclipse.californium.elements.UDPConnectorTest.testSendMessageWithEndpointContext,2,35,15,3,1,0.21,339,327,1,37,99,5,6,0.27,0.45
org.eclipse.californium.elements.UDPConnectorTest.testStopCallsMessageCallbackOnError,2,42,16,3,1,0.32,392,356,1,37,100,5,6,0.27,0.45
org.eclipse.californium.elements.UDPConnectorTest.testStopCallsMessageCallbackOnErrorCirtical,2,35,14,3,1,0.38,328,310,1,37,98,5,6,0.27,0.45
org.eclipse.californium.elements.UDPConnectorTest.testTooLargeDatagramIsDropped,2,36,15,3,1,0.21,349,328,1,37,99,5,6,0.27,0.45
org.eclipse.californium.elements.UdpEndpointContextMatcherTest.testResponse,5,28,11,2,1,0,76,295,1,30,91,6,6,0.25,0.5
org.eclipse.californium.elements.UdpEndpointContextMatcherTest.testSending,5,14,7,1,1,0,68,105,0,21,28,0,2,0.43,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testBrokenEcdsa,0,40,12,1,1,0.16,66,422,1,204,114,4,4,0.64,0.5
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testDHKeyAlgorithmGenerated,0,25,8,1,1,0.21,20,222,1,146,90,0,4,0.62,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testDsaKeyAlgorithmGenerated,0,25,8,1,1,0.21,20,222,1,146,90,0,4,0.62,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testEcKeyAlgorithmGenerated,0,25,8,1,1,0.21,20,222,1,146,90,0,4,0.62,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testEdDsaKeyAlgorithmGenerated,0,26,8,1,1,0.25,21,234,1,146,90,0,4,0.62,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testEqualKeyAlgorithmSynonyms,0,2,2,1,1,0.64,19,11,0,31,36,0,3,0.46,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testInvalidOidToString,1,16,6,1,1,0.01,4,151,1,141,66,0,2,0.68,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testInvalidReadCNFromDN,0,20,7,1,1,0.12,4,224,1,174,88,0,3,0.66,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testKeyAlgorithmDH,0,28,8,1,1,0.05,5,270,1,182,106,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testKeyAlgorithmDsa,0,28,8,1,1,0.05,5,270,1,182,106,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testKeyAlgorithmEc,0,28,8,1,1,0.05,5,270,1,182,106,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testKeyAlgorithmEddsa,0,29,8,1,1,0.09,6,282,1,182,106,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testKeyAlgorithmRsa,0,28,8,1,1,0.05,5,270,1,182,106,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testNoOid,1,8,3,1,1,0,5,93,0,45,40,0,0,0.53,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testNoSequence,1,8,3,1,1,0,5,93,0,45,40,0,0,0.53,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testOidExceedsSupportedLength,1,8,3,1,1,0,5,93,0,45,40,0,0,0.53,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testOidToString,1,14,5,1,1,0.02,8,134,1,118,48,0,0,0.71,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testPrivateKeyAlgorithmDH,0,29,9,1,1,0.14,5,315,1,187,112,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testPrivateKeyAlgorithmDsa,0,29,9,1,1,0.14,5,315,1,187,112,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testPrivateKeyAlgorithmEc,0,29,9,1,1,0.14,5,315,1,187,112,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testPrivateKeyAlgorithmEcV2,0,29,9,1,1,0.1,4,310,1,189,95,0,3,0.67,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testPrivateKeyAlgorithmEddsa,0,30,9,1,1,0.18,6,327,1,187,112,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testPrivateKeyAlgorithmEdDsaV2,0,25,7,1,1,0.11,4,288,1,156,76,0,1,0.67,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testPrivateKeyAlgorithmRSA,0,29,9,1,1,0.14,5,315,1,187,112,0,4,0.63,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testReadCNFromDN,0,26,8,1,1,0.1,8,280,1,181,88,2,3,0.67,0.4
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testReadPrivateKeyEcV2,0,37,12,1,1,0.1,37,391,1,204,114,4,4,0.64,0.5
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testReadPrivateKeyEdDsaV2,0,52,13,1,1,0.1,38,506,1,233,146,4,4,0.61,0.5
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testRsaKeyAlgorithmGenerated,0,25,8,1,1,0.21,20,222,1,146,90,0,4,0.62,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testSequenceEntityDecoder,1,14,4,1,1,0.01,5,126,1,108,47,0,0,0.7,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testSequenceEntityDecoderProvideMoreData,1,14,4,1,1,0.01,6,126,1,108,47,0,0,0.7,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testSequenceExceedsSupportedLength,1,10,3,1,1,0,5,116,0,45,40,0,0,0.53,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testSequenceExceedsSupportedLengthBytes,1,7,3,1,1,0,5,87,0,45,40,0,0,0.53,0
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testViolatesMinimumEntityLength,1,3,2,1,1,0,5,61,0,29,20,0,0,0.59,0
org.eclipse.californium.elements.util.Base64Test.testEncodeBytesRecognizesNoPaddingOption[0],0,5,1,1,1,0.01,12,86,1,38,34,5,1,0.53,0.83
org.eclipse.californium.elements.util.Base64Test.testEncodeBytesRecognizesNoPaddingOption[1],0,5,1,1,1,0.01,12,86,1,38,34,5,1,0.53,0.83
org.eclipse.californium.elements.util.Base64Test.testEncodeBytesRecognizesNoPaddingOption[2],0,5,1,1,1,0.01,12,86,1,38,34,5,1,0.53,0.83
org.eclipse.californium.elements.util.BytesTest.testBytesCloned,1,1,1,1,1,1,6,12,1,2,3,0,1,0.4,0
org.eclipse.californium.elements.util.BytesTest.testBytesEquals,2,1,1,1,1,0,9,25,1,3,7,0,2,0.3,0
org.eclipse.californium.elements.util.BytesTest.testBytesNotCloned,1,1,1,1,1,1,6,14,1,1,4,0,1,0.2,0
org.eclipse.californium.elements.util.BytesTest.testBytesNotEquals,2,1,1,1,1,0,9,25,1,1,7,1,1,0.12,0.5
org.eclipse.californium.elements.util.CertPathUtilTest.testCanBeUsedForClientAuthentication,0,9,4,1,1,0.46,30,138,1,23,55,2,15,0.29,0.12
org.eclipse.californium.elements.util.CertPathUtilTest.testCanBeUsedForServerAuthentication,0,9,4,1,1,0.46,30,138,1,24,55,2,15,0.3,0.12
org.eclipse.californium.elements.util.CertPathUtilTest.testCanBeUsedToVerifySignature,0,9,4,1,1,0.38,34,123,1,23,54,5,13,0.3,0.28
org.eclipse.californium.elements.util.CertPathUtilTest.testClientExtCertificateValidationWithTrust,0,14,5,1,1,0.52,67,249,1,28,96,0,23,0.23,0
org.eclipse.californium.elements.util.CertPathUtilTest.testGenerateCertPath,0,10,4,1,1,0.29,23,145,1,23,32,0,9,0.42,0
org.eclipse.californium.elements.util.CertPathUtilTest.testGenerateTruncatedCertPath,0,9,4,1,1,0.47,28,142,1,26,30,0,9,0.46,0
org.eclipse.californium.elements.util.CertPathUtilTest.testGenerateValidationCertPath,0,10,4,1,1,0.36,66,161,1,32,65,3,17,0.33,0.15
org.eclipse.californium.elements.util.CertPathUtilTest.testGenerateValidationCertPathForIssuer,0,10,4,1,1,0.36,69,161,1,32,67,3,20,0.32,0.13
org.eclipse.californium.elements.util.CertPathUtilTest.testGenerateValidationCertPathForSingleCertificateAndUnknownIssuer,0,10,4,1,1,0.36,27,161,1,29,37,2,13,0.44,0.13
org.eclipse.californium.elements.util.CertPathUtilTest.testGenerateValidationCertPathForUnknownIssuer,0,10,4,1,1,0.36,25,161,1,29,38,2,14,0.43,0.12
org.eclipse.californium.elements.util.CertPathUtilTest.testGenerateValidationCertPathSelfSigned,0,10,4,1,1,0.36,23,161,1,24,36,1,10,0.4,0.09
org.eclipse.californium.elements.util.CertPathUtilTest.testMatchDestination,0,33,11,1,1,0.26,28,360,1,75,95,6,8,0.44,0.43
org.eclipse.californium.elements.util.CertPathUtilTest.testMatchLiteralIP,0,9,4,1,1,0.4,25,127,1,21,25,1,6,0.46,0.14
org.eclipse.californium.elements.util.CertPathUtilTest.testSelfSignedValidation,0,13,5,1,1,0.54,65,240,1,28,91,1,21,0.24,0.05
org.eclipse.californium.elements.util.CertPathUtilTest.testSelfSignedValidationTruncatedTrust,0,14,5,1,1,0.52,65,249,1,29,99,0,23,0.23,0
org.eclipse.californium.elements.util.CertPathUtilTest.testSelfSignedValidationTrust,0,14,5,1,1,0.52,65,249,1,28,96,0,23,0.23,0
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateInvalidPath,0,9,4,1,1,0.27,29,142,1,24,58,2,14,0.29,0.12
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateInvalidPath2,0,9,4,1,1,0.27,29,142,1,22,59,1,15,0.27,0.06
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateTruncatingValidationWithIntermediateTrust,0,14,5,1,1,0.53,70,244,1,37,92,1,23,0.29,0.04
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateTruncatingValidationWithSelfTrust,0,15,5,1,1,0.51,72,253,1,41,97,3,23,0.3,0.12
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateTruncatingValidationWithTruncatedAmbiguousTrust,0,15,5,1,1,0.51,80,254,1,43,93,1,23,0.32,0.04
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateValidation,0,13,5,1,1,0.54,68,240,1,33,87,2,20,0.28,0.09
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateValidationTruncatedWithTrust,0,14,5,1,1,0.53,70,244,1,37,92,1,23,0.29,0.04
org.eclipse.californium.elements.util.CertPathUtilTest.testServerCertificateValidationUnknownTrust,0,14,4,1,1,0.51,31,252,1,27,77,1,20,0.26,0.05
