TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.encodeCompleteResponse,1,92,23,3,1,0.09,49,527,0,123,115,2,0,0.52,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.exists,1,87,20,3,1,0.08,33,471,0,109,102,3,2,0.52,0.6
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.existsMany,1,79,19,3,1,0.07,30,461,0,95,100,1,1,0.49,0.5
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.expire,1,87,20,3,1,0.08,31,470,0,93,115,3,1,0.45,0.75
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.expireAt,1,87,20,3,1,0.08,34,470,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.expireTime,1,86,19,3,1,0.08,31,469,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.flushAll,1,86,19,3,1,0.11,52,479,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.flushDB,1,87,19,3,1,0.11,46,482,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.getDB,1,65,15,3,1,0.08,26,408,0,68,91,0,1,0.43,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.keys,1,90,22,3,1,0.07,46,516,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.lolwut,2,71,16,4,1,0.08,27,455,0,83,112,3,0,0.43,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.move,1,91,19,3,1,0.1,36,499,0,115,111,4,2,0.51,0.67
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.persist,1,86,19,3,1,0.08,31,469,0,99,110,2,2,0.47,0.5
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.pexpire,1,89,20,3,1,0.09,38,473,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.pexpireAt,1,82,19,3,1,0.07,30,463,0,95,107,2,2,0.47,0.5
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.pexpireTime,1,86,19,3,1,0.08,30,469,0,98,110,3,3,0.47,0.5
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.ping,1,61,15,3,1,0.07,25,401,0,72,84,0,1,0.46,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.pingWithMessage,1,70,15,3,1,0.07,26,448,0,87,103,4,0,0.46,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.psetex,1,82,19,3,1,0.07,29,463,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.pttl,1,86,19,3,1,0.08,35,469,0,102,107,2,1,0.49,0.67
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.randomKey,1,88,20,3,1,0.07,37,487,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.rename,1,88,19,3,1,0.08,33,488,0,116,102,3,1,0.53,0.75
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.renamenx,1,82,19,3,1,0.07,31,463,0,90,109,3,1,0.45,0.75
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.renameOldAndNewAreTheSame,1,79,18,3,1,0.08,27,446,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.restoreParams,2,106,22,4,1,0.11,50,577,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scan,1,86,21,4,1,0.07,31,507,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scanCount,2,92,23,5,1,0.07,36,522,0,105,116,2,1,0.48,0.67
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scanIsCompleteIteration,1,81,20,4,1,0.06,34,498,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scanMatch,2,94,23,5,1,0.08,39,525,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scanType,2,100,24,5,1,0.09,73,533,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.select,1,87,19,3,1,0.08,37,490,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.sendBlockingCommandTest,1,72,15,3,1,0.1,28,478,0,99,97,2,1,0.51,0.67
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.sendCommandTest,1,71,15,3,1,0.07,41,455,0,99,97,2,0,0.51,1
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.setGetOptionTest,1,86,21,4,1,0.07,27,512,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.setNxExAndGet,1,101,23,4,1,0.08,37,535,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.swapDB,1,88,19,3,1,0.09,45,493,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.touch,1,92,20,3,1,0.09,43,481,0,0,0,0,0,0,0
