TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterRanDdlBatchTest.testSetStatementTimeout[dialect = GOOGLE_STANDARD_SQL],2,134,28,2,1,0.03,131,837,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterSetTransactionReadOnlyTest.testWrite[dialect = GOOGLE_STANDARD_SQL],2,90,20,2,1,0.08,113,503,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterBeginTransactionTest.testGetReadOnlyStaleness[dialect = POSTGRESQL],2,79,14,2,1,0.05,104,449,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterUpdateTest.testSetAutocommit[dialect = GOOGLE_STANDARD_SQL],3,124,25,2,1,0.02,119,804,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyNoActionsTest.testGetOptimizerVersion[dialect = POSTGRESQL],2,75,13,2,1,0.06,102,425,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadOnlyTest$ConnectionImplAutocommitReadOnlyAfterSetReadOnlyMaxStalenessTest.testSetAutocommit[dialect = POSTGRESQL],2,88,15,2,1,0.08,113,485,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteNoActionsTest.testBufferedWrite[dialect = POSTGRESQL],2,124,29,2,1,0.05,122,707,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterUpdateTest.testIsClosed[dialect = GOOGLE_STANDARD_SQL],3,123,25,2,1,0.02,106,803,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterSetReadOnlyMaxStalenessTest.testIsInTransaction[dialect = GOOGLE_STANDARD_SQL],2,88,15,2,1,0.08,99,485,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteNoActionsTest.testExecute[dialect = GOOGLE_STANDARD_SQL],3,144,28,2,1,0.02,125,933,1,0.00,0.00
com.google.cloud.spanner.OptionsTest.testTransactionOptionsPriority,0,5,2,1,1,0.93,6,30,1,0.00,0.00
com.google.cloud.spanner.connection.ReadOnlyStalenessUtilTest.testParseTimeUnit,0,1,1,1,1,1.00,6,3,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterBeginTransactionTest.testSetReadOnly[dialect = GOOGLE_STANDARD_SQL],2,80,15,2,1,0.05,124,448,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionStatementExecutorTest.testStatementSetPgTransactionMode[dialect = GOOGLE_STANDARD_SQL],1,4,3,2,1,0.78,12,18,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadOnlyTest$ConnectionImplTransactionalReadOnlyAfterSelectAndResultSetNextTest.testGetReadTimestamp[dialect = POSTGRESQL],2,132,29,2,1,0.02,127,790,1,0.00,0.00
com.google.cloud.spanner.connection.StatementParserTest.testStatementWithCommentContainingSlashAndNoAsteriskOnNewLine[dialect = POSTGRESQL],0,24,6,2,1,0.10,8,167,1,0.00,0.00
com.google.cloud.spanner.BatchCreateSessionsTest.testCreatedMinSessions,0,308,49,5,1,0.01,139,2673,0,0.00,0.00
com.google.cloud.spanner.v1.SpannerClientTest.deleteSessionExceptionTest2,0,55,7,2,1,0.06,41,308,1,0.00,0.00
com.google.cloud.spanner.TimestampBoundTest.readTimestamp,0,8,1,1,1,0.38,31,31,1,0.00,0.00
com.google.cloud.spanner.InlineBeginTransactionTest$InlineBeginTransactionWithExecutorTest.testInlinedBeginAsyncTxWithQuery[executor = MoreExecutors.directExecutor()],0,464,78,5,1,0.01,545,3393,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterEmptyCommitTest.testSetOptimizerStatisticsPackage[dialect = GOOGLE_STANDARD_SQL],2,82,14,2,1,0.05,107,457,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteInDdlBatchTransactionTest.testWriteIterable[dialect = GOOGLE_STANDARD_SQL],2,127,30,2,1,0.04,115,777,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteNoActionsTest.testSetStatementTimeout[dialect = GOOGLE_STANDARD_SQL],2,87,15,2,1,0.06,125,464,1,0.00,0.00
com.google.cloud.spanner.InstanceTest.listDatabases,2,5,4,1,1,0.40,8,32,1,0.00,0.00
com.google.cloud.spanner.SpannerGaxRetryTest.readWriteTransactionUncheckedException,0,383,57,5,1,0.01,470,2671,0,0.00,0.00
com.google.cloud.spanner.GrpcResultSetTest.metadata,2,30,8,1,1,0.21,21,213,0,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterBeginReadOnlyTransactionTest.testWriteIterable[dialect = GOOGLE_STANDARD_SQL],2,113,27,2,1,0.05,115,635,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplAutocommitReadWriteTest$ConnectionImplAutocommitReadWriteAfterBeginTransactionTest.testCommit[dialect = GOOGLE_STANDARD_SQL],2,81,14,2,1,0.05,101,462,1,0.00,0.00
com.google.cloud.spanner.connection.ConnectionImplTransactionalReadWriteTest$ConnectionImplTransactionalReadWriteAfterTransactionTest.testSetTransactionMode[dialect = POSTGRESQL],2,150,36,2,1,0.02,147,911,1,0.00,0.00
com.google.cloud.spanner.OptionsTest.testTransactionOptions_withCommitStatsAndOtherOptionHashCode,0,7,3,1,1,0.89,5,40,1,0.00,0.00
