TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.inject.spi.ModuleAnnotatedMethodScannerTest.privateModuleInheritScanner_skipSourcesFromPrivateBinder,1,376,104,8,1,0.00,24,2325,0,0.00,0.00
com.google.inject.grapher.ShortNameFactoryTest.testGetInstanceName_providerMethod,1,2,1,1,1,0.00,14,18,1,0.00,0.00
com.google.inject.MethodInterceptionTest.testInterceptionWithMixedReturnTypes,1,372,108,7,1,0.00,20,2601,0,0.00,0.00
com.google.inject.persist.jpa.EnsureJpaCanTakeObjectsInPropertiesTest.testWorksIfPassDataSource,1,8,4,2,1,0.05,32,57,0,0.00,0.00
com.google.inject.spi.ModuleRewriterTest.testGetProviderAvailableAtInjectMembersTime,1,366,113,8,1,0.00,19,2404,0,0.00,0.00
com.google.inject.ProvisionExceptionTest.testMultipleDuplicates,1,173,59,6,1,0.00,33,1228,0,0.00,0.00
com.google.inject.name.NamesTest.testBindPropertiesUsingMap,1,244,81,7,1,0.01,13,1658,1,0.00,0.00
com.google.inject.internal.MapBinderTest.testMultibinderDependenciesInToolStage,3,397,100,8,1,0.01,26,2208,1,0.00,0.00
com.google.inject.ParentInjectorTest.testChildCannotBindToAParentJitBinding,1,340,110,7,1,0.00,42,2340,0,0.00,0.00
com.google.inject.JitBindingsTest.testTypeLiteralsCanBeInjected,3,374,113,7,1,0.00,18,2536,0,0.00,0.00
com.google.inject.multibindings.ProvidesIntoTest.testArrayKeys_unwrapValuesFalse,2,448,114,9,1,0.00,21,2693,0,0.00,0.00
com.google.inject.servlet.FilterDefinitionTest.testGetFilterIfMatching,1,9,4,1,1,0.18,25,120,1,0.00,0.00
com.google.inject.daggeradapter.IntoMapTest.testMapBindingsWithAnnotation,0,33,8,1,1,0.01,10,162,0,0.00,0.00
com.google.inject.persist.jpa.ManagedLocalTransactionsAcrossRequestTest.testSimpleTransactionRollbackOnUnchecked,1,13,5,2,1,0.00,37,106,0,0.00,0.00
com.google.inject.servlet.ServletScopesTest.testIsRequestScopedNegative,0,1,1,1,1,1.00,64,1,1,0.00,0.00
com.google.inject.spi.ProviderMethodsTest.testOverrideProviderMethod_overrideDoesntHaveProvides,1,309,91,7,1,0.00,24,2081,1,0.00,0.00
com.google.inject.PrivateModuleTest.testDependenciesBetweenPrivateAndPublicWithPrivateEagerSingleton,2,436,126,8,1,0.00,18,2819,1,0.00,0.00
com.google.inject.ProvisionExceptionTest.testProvisionExceptionsAreWrappedForBindToType,1,338,105,7,1,0.00,22,2369,1,0.00,0.00
com.google.inject.ProvisionExceptionTest.testMultipleCauses,1,402,116,7,1,0.00,24,2702,1,0.00,0.00
com.google.inject.name.NamedEquivalanceTest.testBindingWithGuiceNamedAnnotatedProviderMethodCanInjectBothTypes,0,350,105,8,1,0.00,11,2455,0,0.00,0.00
com.google.inject.spi.InjectionPointTest.testForConstructorOf,0,49,12,4,1,0.01,3,330,1,0.00,0.00
com.google.inject.spi.ElementApplyToTest.testGetMembersInjector,3,78,21,5,1,0.02,64,521,0,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderTest.testBindingToInterfaceWithExtraMethod_Bind,0,31,7,1,1,0.06,55,259,0,0.00,0.00
com.google.inject.MembersInjectorTest.testGettingAnnotatedMembersInjector,1,245,69,7,1,0.01,24,1600,0,0.00,0.00
com.google.inject.spi.InjectorSpiTest.testGetAllMembersInjectorInjectionPoints_getInstance,1,345,109,7,1,0.00,12,2358,0,0.00,0.00
