TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testC40EncodationBasic1,0,84,14,2,2,0.00,16,835,0,169,297,0,19,0.36,0.00
com.google.zxing.client.result.CalendarParsedResultTestCase.testLocation,1,28,11,2,1,0.05,30,312,0,36,47,0,12,0.43,0.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder31,0,33,9,3,3,0.06,6,300,0,84,86,0,14,0.49,0.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testEncodeWithVersion,0,98,15,4,3,0.12,6,715,0,254,326,1,36,0.44,0.03
com.google.zxing.client.result.URIParsedResultTestCase.testNotURI,1,28,24,2,1,0.01,15,430,0,19,24,0,3,0.44,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string32,4,94,27,7,1,0.02,51,862,0,383,178,0,11,0.68,0.00
com.google.zxing.common.BitArrayTestCase.testGetNextSet2,1,4,1,1,1,0.93,10,19,0,11,4,0,0,0.73,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2binaryTestCase.testDecodeRow2binary4,4,49,16,6,1,0.11,51,542,0,269,118,0,9,0.70,0.00
com.google.zxing.common.BitArrayTestCase.testGetSet,1,3,1,1,1,0.75,7,8,0,6,0,0,0,1.00,0.00
com.google.zxing.qrcode.decoder.ErrorCorrectionLevelTestCase.testBadECLevel,0,1,1,1,1,0.00,1,3,0,0,2,0,0,0.00,0.00
com.google.zxing.qrcode.decoder.DecodedBitStreamParserTestCase.testSimpleByteMode,0,10,6,2,2,0.32,34,223,0,39,68,3,9,0.36,0.25
com.google.zxing.oned.rss.expanded.decoders.FieldParserTest.testParseField,0,3,1,1,1,0.64,7,47,1,13,15,0,0,0.46,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedInternalTestCase.testFindFinderPatterns,4,41,14,6,1,0.06,63,468,0,164,164,0,8,0.50,0.00
com.google.zxing.oned.rss.expanded.decoders.AnyAIDecoderTest.testAnyAIDecoder1,1,40,11,2,2,0.11,32,267,1,79,59,0,1,0.57,0.00
com.google.zxing.oned.Code128WriterTestCase.testEncodeWithFunc4,2,36,8,3,1,0.30,36,643,0,205,140,1,14,0.59,0.07
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testC40EncodationSpecialCases1,0,81,11,2,2,0.00,29,770,0,219,281,2,23,0.44,0.08
com.google.zxing.client.result.ParsedReaderResultTestCase.testBookmarkType,1,16,7,2,1,0.06,19,120,0,32,28,2,6,0.53,0.25
com.google.zxing.oned.UPCAWriterTestCase.testAddChecksumAndEncode,1,15,6,2,2,0.05,10,116,0,67,22,2,3,0.75,0.40
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testStandardSample3,1,20,4,3,2,0.41,15,280,0,28,33,1,3,0.46,0.25
com.google.zxing.oned.rss.expanded.RSSExpandedStackedInternalTestCase.testCompleteDecode,4,87,23,7,1,0.00,45,892,0,370,197,1,13,0.65,0.07
com.google.zxing.common.detector.MathUtilsTestCase.testSum,0,1,1,1,1,1.00,6,4,0,2,0,0,0,1.00,0.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testAppendNumericBytes,1,6,2,2,2,0.59,17,45,0,44,6,4,0,0.88,1.00
com.google.zxing.client.result.ParsedReaderResultTestCase.testVCard,1,19,9,2,1,0.02,19,295,0,46,60,0,15,0.43,0.00
com.google.zxing.client.result.ParsedReaderResultTestCase.testEmailAddressType,1,33,25,2,1,0.01,20,465,0,33,32,1,5,0.51,0.17
com.google.zxing.client.result.AddressBookParsedResultTestCase.testVCardFullN,1,27,9,2,1,0.07,19,282,0,43,45,3,10,0.49,0.23
com.google.zxing.oned.rss.expanded.RSSExpandedImage2binaryTestCase.testDecodeRow2binary21,4,49,16,6,1,0.11,51,542,0,267,120,0,9,0.69,0.00
com.google.zxing.aztec.encoder.EncoderTest.testEncodeDecode10,2,92,17,5,2,0.03,21,858,1,372,233,1,21,0.61,0.05
com.google.zxing.client.result.ParsedReaderResultTestCase.testTel,1,30,25,2,1,0.01,21,444,0,28,25,2,3,0.53,0.40
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testUppercase,0,25,6,3,3,0.08,23,450,0,86,83,0,15,0.51,0.00
com.google.zxing.client.result.ExpandedProductParsedResultTestCase.testRSSExpanded,2,20,4,2,1,0.72,21,139,0,37,6,7,1,0.86,0.88
com.google.zxing.qrcode.encoder.BitVectorTestCase.testNumBytes,1,5,1,1,1,0.73,12,26,0,10,14,0,0,0.42,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string20,4,67,22,7,1,0.02,51,690,0,314,132,0,9,0.70,0.00
com.google.zxing.oned.CodaBarWriterTestCase.testEncode2,1,14,4,2,2,0.04,13,122,0,69,16,2,1,0.81,0.67
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testUnlatchingFromText,0,78,12,2,2,0.00,15,767,0,193,293,2,19,0.40,0.10
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testECIEnglishCzechCyrillic1,0,53,12,3,3,0.06,52,676,0,262,99,0,15,0.73,0.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder19,0,33,9,3,3,0.06,6,300,0,83,87,0,14,0.49,0.00
com.google.zxing.multi.MultiTestCase.testMulti,5,302,78,19,1,0.00,56,4195,0,985,1556,5,84,0.39,0.06
com.google.zxing.oned.rss.expanded.RSSExpandedImage2binaryTestCase.testDecodeRow2binary17,4,49,16,6,1,0.11,51,542,0,267,120,0,9,0.69,0.00
com.google.zxing.datamatrix.encoder.ErrorCorrectionTestCase.testRS,0,9,2,1,1,0.30,15,83,0,33,9,5,3,0.79,0.62
com.google.zxing.qrcode.encoder.EncoderTestCase.testSimpleUTF8ECI,0,102,16,4,3,0.11,7,747,0,366,177,0,31,0.67,0.00
com.google.zxing.web.HTTPSFilterTestCase.testNoRedirect,1,2,1,1,1,0.88,13,10,0,1,1,1,0,0.50,1.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder13,0,33,9,3,3,0.06,6,300,0,80,91,0,14,0.47,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string14,4,90,26,7,1,0.02,51,833,0,330,221,1,10,0.60,0.09
com.google.zxing.oned.rss.expanded.decoders.AI013X0X1XDecoderTest.test01310X1XendDate,1,17,6,2,2,0.24,32,128,0,48,6,1,0,0.89,1.00
com.google.zxing.pdf417.encoder.PDF417EncoderTestCase.testEncodeAuto,0,14,3,2,2,0.44,4,160,0,27,56,0,8,0.33,0.00
com.google.zxing.client.j2se.MatrixToImageWriterTestCase.testAlpha,1,6,2,1,1,0.24,27,29,0,11,7,2,0,0.61,1.00
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testBug1664266,0,68,10,2,2,0.00,19,675,0,171,284,0,19,0.38,0.00
com.google.zxing.client.result.CalendarParsedResultTestCase.testNoVCalendar,1,37,17,2,1,0.05,30,384,0,33,46,0,12,0.42,0.00
com.google.zxing.qrcode.encoder.MaskUtilTestCase.testGetDataMaskBit,0,1,1,1,1,1.00,23,22,0,12,1,3,0,0.92,1.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2binaryTestCase.testDecodeRow2binary14,4,49,16,6,1,0.11,51,542,0,265,124,0,9,0.68,0.00
com.google.zxing.client.result.CalendarParsedResultTestCase.testOrganizer,1,28,11,2,1,0.05,28,312,0,37,46,0,12,0.45,0.00
com.google.zxing.oned.rss.expanded.BitArrayBuilderTest.testBuildBitArray1,2,8,4,3,2,0.82,22,52,1,44,3,0,1,0.94,0.00
com.google.zxing.aztec.encoder.EncoderTest.testHighLevelEncodeBinary,1,31,8,3,3,0.13,53,284,0,141,46,7,3,0.75,0.70
com.google.zxing.qrcode.decoder.DecodedBitStreamParserTestCase.testECI,0,12,6,2,2,0.49,36,151,0,43,24,4,1,0.64,0.80
com.google.zxing.client.j2se.CommandLineRunnerTestCase.testCommandLineRunner,0,13,5,1,1,0.22,4,211,0,24,60,4,5,0.29,0.44
com.google.zxing.oned.UPCEBlackBox1TestCase.testBlackBox,4,175,47,16,1,0.00,217,2561,0,471,877,7,39,0.35,0.15
com.google.zxing.common.reedsolomon.ReedSolomonTestCase.testQRCode,2,27,4,1,1,0.19,70,244,0,111,55,0,4,0.67,0.00
com.google.zxing.oned.rss.expanded.decoders.AI0132023203DecoderTest.test0132031,1,16,7,2,2,0.30,32,107,0,46,9,0,1,0.84,0.00
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testUppercaseNumericMix,0,31,6,3,3,0.07,31,496,0,137,86,4,11,0.61,0.27
com.google.zxing.qrcode.encoder.BitVectorTestCase.testAt,1,4,1,1,1,0.65,20,21,0,17,5,0,0,0.77,0.00
com.google.zxing.aztec.decoder.DecoderTest.testDecodeTooManyErrors2,2,34,9,5,1,0.17,5,341,1,110,86,1,5,0.56,0.17
com.google.zxing.client.result.AddressBookParsedResultTestCase.testEscapedVCard,1,27,9,2,1,0.07,19,282,0,46,52,0,14,0.47,0.00
com.google.zxing.client.result.ParsedReaderResultTestCase.testBizcard,1,22,11,2,1,0.03,15,248,0,36,36,4,5,0.50,0.44
com.google.zxing.qrcode.encoder.EncoderTestCase.testEncodeGS1WithStringTypeHint,0,99,15,4,3,0.11,9,718,0,406,164,3,31,0.71,0.09
com.google.zxing.oned.rss.RSS14BlackBox2TestCase.testBlackBox,4,340,88,20,1,0.00,225,4376,0,945,1708,8,80,0.36,0.09
com.google.zxing.datamatrix.DataMatrixBlackBox1TestCase.testBlackBox,4,345,81,19,1,0.00,229,4696,0,1138,1832,7,90,0.38,0.07
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder41,0,33,9,3,3,0.06,6,300,0,93,84,3,15,0.53,0.17
com.google.zxing.qrcode.decoder.ModeTestCase.testCharacterCount,0,9,4,1,1,0.56,8,37,0,10,5,1,0,0.67,1.00
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testX12AndEDIFACTSpecErrors,0,97,13,2,2,0.00,25,926,0,384,335,6,27,0.53,0.18
com.google.zxing.oned.Code128WriterTestCase.testEncodeWithFunc3,2,36,8,3,1,0.30,36,643,0,208,129,2,9,0.62,0.18
com.google.zxing.common.reedsolomon.ReedSolomonTestCase.testDataMatrix,2,27,4,1,1,0.19,70,244,0,120,48,1,4,0.71,0.20
com.google.zxing.oned.rss.expanded.RSSExpandedStackedBlackBox2TestCase.testBlackBox,4,282,74,19,1,0.00,217,3721,0,918,1247,6,61,0.42,0.09
com.google.zxing.qrcode.encoder.BitVectorTestCase.testToString,1,5,1,1,1,0.70,5,27,0,24,6,0,0,0.80,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2binaryTestCase.testDecodeRow2binary13,4,49,16,6,1,0.11,51,542,0,270,122,2,8,0.69,0.20
com.google.zxing.common.BitMatrixTestCase.testSetRegion,1,2,1,1,1,1.00,7,25,0,18,6,0,0,0.75,0.00
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testUppercaseLowercaseNumericPunctuationMix,0,23,6,3,3,0.09,31,379,0,89,60,0,11,0.60,0.00
com.google.zxing.client.result.URIParsedResultTestCase.testURI,1,28,20,2,1,0.02,18,345,0,42,19,5,1,0.69,0.83
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string19,4,67,22,7,1,0.02,51,690,0,314,132,0,9,0.70,0.00
com.google.zxing.qrcode.encoder.BitVectorTestCase.testAppendBitVector,1,7,1,1,1,0.64,8,37,0,31,10,0,0,0.76,0.00
com.google.zxing.aztec.encoder.EncoderTest.testHighLevelEncode,1,33,8,3,3,0.12,24,302,0,137,49,3,6,0.74,0.33
com.google.zxing.aztec.decoder.DecoderTest.testAztecResult,2,27,8,4,2,0.19,9,337,1,133,50,3,2,0.73,0.60
com.google.zxing.oned.EANManufacturerOrgSupportTest.testLookup,1,3,1,1,1,0.10,8,127,1,13,105,5,0,0.11,1.00
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testUppercaseLowercasePunctuationMix,0,22,6,3,3,0.09,31,378,0,69,64,0,10,0.52,0.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder16,0,33,9,3,3,0.06,6,300,0,83,86,0,14,0.49,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string13,4,81,26,7,1,0.02,51,743,0,316,161,0,10,0.66,0.00
com.google.zxing.oned.EAN8BlackBox1TestCase.testBlackBox,4,208,58,17,1,0.00,217,2810,0,612,970,4,43,0.39,0.09
com.google.zxing.qrcode.encoder.MatrixUtilTestCase.testEmbedVersionInfo,1,16,4,3,3,0.43,7,77,0,52,12,5,0,0.81,1.00
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testECIGermanCyrillic,0,49,10,3,3,0.06,52,637,0,272,93,0,15,0.75,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string11,4,96,28,7,1,0.02,51,887,0,395,180,0,10,0.69,0.00
com.google.zxing.client.result.ParsedReaderResultTestCase.testURI,1,28,20,2,1,0.02,27,352,0,44,21,5,2,0.68,0.71
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testSampleWithNoFileIdMacro,1,5,4,3,1,0.86,5,84,0,7,12,1,0,0.37,1.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder33,0,33,9,3,3,0.06,6,300,0,78,82,0,14,0.49,0.00
com.google.zxing.datamatrix.encoder.HighLevelEncodeTestCase.testC40EncodationSpecExample,0,76,11,2,2,0.00,15,753,0,185,296,1,19,0.38,0.05
com.google.zxing.oned.rss.expanded.RSSExpandedImage2resultTestCase.testDecodeRow2result2,5,92,44,8,1,0.02,53,1111,0,349,153,7,12,0.70,0.37
com.google.zxing.common.BitMatrixTestCase.testRotate180,1,11,2,1,1,0.33,21,63,0,31,22,0,1,0.58,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedStackedInternalTestCase.testDecodingRowByRow,4,73,24,7,1,0.08,60,757,0,333,141,1,9,0.70,0.10
com.google.zxing.pdf417.decoder.PDF417DecoderTestCase.testNumeric,0,26,6,3,3,0.08,23,422,0,91,58,1,8,0.61,0.11
com.google.zxing.oned.UPCEWriterTestCase.testEncodeIllegalCharacters,0,9,7,2,1,0.00,1,94,0,4,18,0,0,0.18,0.00
com.google.zxing.datamatrix.encoder.PlacementTestCase.testPlacement,1,9,1,1,1,0.52,28,71,0,68,20,6,1,0.77,0.86
com.google.zxing.aztec.encoder.EncoderTest.testBorderCompact4CaseFailed,0,21,6,2,2,0.00,5,239,1,43,70,2,6,0.38,0.25
com.google.zxing.oned.rss.expanded.RSSExpandedBlackBox1TestCase.testBlackBox,4,298,84,18,1,0.00,217,3634,0,944,1190,2,63,0.44,0.03
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder6,0,33,9,3,3,0.06,6,300,0,78,82,0,14,0.49,0.00
com.google.zxing.oned.Code128WriterTestCase.testEncodeWithForcedCodeSetFailureCodeSetBBadCharacter,2,4,2,1,1,0.00,9,46,0,4,13,1,0,0.24,1.00
com.google.zxing.aztec.encoder.EncoderTest.testEncodeDecode1,2,90,17,5,2,0.03,21,840,1,351,212,3,15,0.62,0.17
com.google.zxing.qrcode.encoder.EncoderTestCase.testBugInBitVectorNumBytes,0,97,15,4,3,0.00,6,694,0,265,318,3,38,0.45,0.07
com.google.zxing.common.reedsolomon.GenericGFPolyTestCase.testZero,0,3,2,1,1,1.00,5,33,0,7,18,4,0,0.28,1.00
com.google.zxing.client.result.ParsedReaderResultTestCase.testUPCE,1,30,24,3,1,0.02,13,391,0,24,27,1,2,0.47,0.33
