TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
redis.clients.jedis.ClusterPipeliningTest.constructorClientConfig,2,132,31,4,1,0.08,68,784,0,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.scriptLoadBinary,1,84,20,3,1,0.07,23,490,0,0.00,0.00
redis.clients.jedis.JedisSentinelPoolTest.checkCloseableConnections,2,140,26,3,1,0.04,21,877,1,0.00,0.00
redis.clients.jedis.commands.jedis.ListCommandsTest.blpop,1,93,20,3,1,0.07,55,524,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledStringValuesCommandsTest.getSet,0,59,19,5,1,0.02,13,291,1,0.00,0.00
redis.clients.jedis.commands.jedis.PublishSubscribeCommandsTest.binarySubscribeMany,2,82,17,3,1,0.08,27,525,0,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.evalNestedLists,1,82,20,3,1,0.06,26,485,0,0.00,0.00
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.incrByWrongValue,1,76,18,3,1,0.06,24,476,0,0.00,0.00
redis.clients.jedis.commands.jedis.HashesCommandsTest.hrandfield,2,111,28,3,1,0.08,46,568,0,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.scriptExists,1,82,20,3,1,0.06,25,488,0,0.00,0.00
redis.clients.jedis.commands.jedis.BitCommandsTest.bitCount,1,89,20,3,1,0.09,21,474,0,0.00,0.00
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineStream,5,154,39,6,1,0.09,85,852,0,0.00,0.00
redis.clients.jedis.JedisSentinelTest.sentinelSet,1,55,15,3,1,0.05,27,421,1,0.00,0.00
redis.clients.jedis.JedisPoolTest.allowUrlWithNoDBAndNoPassword,2,28,4,2,1,0.03,4,145,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zscan,0,77,26,8,1,0.02,33,348,1,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.scriptKill,1,74,19,3,1,0.06,25,461,0,0.00,0.00
redis.clients.jedis.ACLJedisPoolTest.securePool,2,102,21,3,1,0.04,9,584,1,0.00,0.00
redis.clients.jedis.JedisTest.checkBinaryData,1,80,19,3,1,0.06,16,494,1,0.00,0.00
redis.clients.jedis.ACLJedisSentinelPoolTest.repeatedSentinelPoolInitializationWithConfig,1,123,23,3,1,0.05,18,830,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.expireTime,0,68,20,5,1,0.03,31,283,1,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.transaction,1,105,27,4,1,0.07,22,654,0,0.00,0.00
redis.clients.jedis.commands.jedis.ClientCommandsTest.nameString,2,73,16,3,1,0.08,22,466,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zaddWithParams,0,96,24,6,1,0.07,65,365,1,0.00,0.00
redis.clients.jedis.commands.jedis.PublishSubscribeCommandsTest.psubscribe,2,79,17,3,1,0.07,34,535,0,0.00,0.00
redis.clients.jedis.ACLJedisPoolTest.testResetInvalidPassword,3,110,21,3,1,0.04,20,651,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zrem,0,74,21,5,1,0.03,41,326,1,0.00,0.00
redis.clients.jedis.ClusterPipeliningTest.piplineWithError,3,127,31,4,1,0.08,65,779,0,0.00,0.00
redis.clients.jedis.commands.jedis.ClientCommandsTest.killTypeNormal,3,77,19,4,1,0.09,27,482,0,0.00,0.00
redis.clients.jedis.commands.jedis.StringValuesCommandsTest.strAlgoLcsWithIdx,2,68,15,3,1,0.07,21,466,0,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.xaddParamsId,2,88,20,4,1,0.08,34,523,0,0.00,0.00
redis.clients.jedis.commands.jedis.BitCommandsTest.bitOpNotMultiSourceShouldFail,1,74,18,3,1,0.05,8,475,0,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterCommandsTest.addAndDelSlotsRange,1,58,14,3,1,0.06,22,381,0,0.00,0.00
redis.clients.jedis.commands.jedis.HashesCommandsTest.hlen,1,83,19,3,1,0.07,28,468,0,0.00,0.00
redis.clients.jedis.commands.jedis.ListCommandsTest.lpushx,1,81,18,3,1,0.07,29,462,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledBinaryValuesCommandsTest.decr,0,53,19,5,1,0.02,24,253,1,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zscan,1,95,24,6,1,0.06,33,532,1,0.00,0.00
redis.clients.jedis.commands.jedis.ControlCommandsTest.memoryDoctorBinary,1,68,16,3,1,0.06,11,441,0,0.00,0.00
redis.clients.jedis.JedisClusterTest.testInvalidStartNodeNotAdded,4,104,23,5,1,0.05,74,646,1,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.expireAt,1,87,20,3,1,0.08,34,470,0,0.00,0.00
redis.clients.jedis.PipeliningTest.testEvalshaKeyAndArgWithBinary,1,103,23,3,1,0.10,25,581,0,0.00,0.00
redis.clients.jedis.JedisTest.useWithoutConnecting,2,65,15,3,1,0.08,12,444,1,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zinterstore,3,95,23,4,1,0.08,37,534,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledBinaryValuesCommandsTest.setAndPxat,0,69,23,6,1,0.03,26,316,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledStringValuesCommandsTest.incrLargeNumbers,0,57,19,5,1,0.02,11,272,1,0.00,0.00
redis.clients.jedis.JedisClusterTest.testSetClientNameWithConfig,4,117,26,5,1,0.07,72,720,1,0.00,0.00
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.append,1,80,19,3,1,0.06,30,476,0,0.00,0.00
redis.clients.jedis.commands.jedis.ClientCommandsTest.killSkipmeNo,3,78,19,4,1,0.10,27,484,0,0.00,0.00
redis.clients.jedis.JedisPoolTest.nonDefaultDatabase,3,110,21,3,1,0.04,9,626,1,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zscanCount,2,94,24,5,1,0.07,39,532,0,0.00,0.00
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclBinaryCommandsTest,1,86,18,4,1,0.09,28,524,0,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.xreadWithParams,2,99,25,5,1,0.06,29,589,0,0.00,0.00
redis.clients.jedis.ProtocolTest.singleLineReply,1,7,3,2,1,0.10,5,47,1,0.00,0.00
redis.clients.jedis.JedisClusterTest.clusterRefreshNodes,2,146,33,6,1,0.04,100,927,1,0.00,0.00
redis.clients.jedis.JedisTest.uriWithDBindexShouldUseTimeout,1,81,16,3,1,0.05,21,485,1,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.unlink,1,96,20,3,1,0.10,45,486,0,0.00,0.00
redis.clients.jedis.ACLJedisTest.connectWithConfigInterface,1,74,16,3,1,0.08,18,417,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.restoreParams,0,82,23,6,1,0.05,42,368,1,0.00,0.00
redis.clients.jedis.exceptions.ExceptionsTest.busy,3,0,0,0,0,0.00,17,18,0,0.00,0.00
redis.clients.jedis.commands.jedis.GeoCommandsTest.geopos,2,92,22,3,1,0.07,41,526,0,0.00,0.00
redis.clients.jedis.PipeliningTest.testEvalsha,1,93,22,3,1,0.10,16,563,0,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterBinaryValuesCommandsTest.testBinaryGetAndSet,3,123,30,5,1,0.04,55,773,0,0.00,0.00
redis.clients.jedis.TransactionV2Test.discard,3,68,18,3,1,0.07,18,453,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.scanType,1,83,25,7,1,0.05,73,350,1,0.00,0.00
redis.clients.jedis.commands.jedis.ControlCommandsTest.clientNoEvict,1,64,15,3,1,0.08,11,410,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledStringValuesCommandsTest.decr,0,54,19,5,1,0.02,11,258,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledListCommandsTest.llenNotOnList,0,61,19,5,1,0.02,33,299,1,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterCommandsTest.ClusterBumpEpoch,1,45,14,3,1,0.04,13,320,0,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.randomKey,1,88,20,3,1,0.07,37,487,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledGeoCommandsTest.geopos,1,75,23,5,1,0.03,41,345,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSetCommandsTest.spop,0,79,25,5,1,0.03,35,339,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledListCommandsTest.linsert,0,75,22,5,1,0.03,43,329,1,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.psetex,1,82,19,3,1,0.07,29,463,0,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.setGetOptionTest,1,86,21,4,1,0.07,27,512,0,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.lolwut,2,71,16,4,1,0.08,27,455,0,0.00,0.00
redis.clients.jedis.exceptions.ExceptionsTest.clusterOperation,3,0,0,0,0,0.00,17,12,0,0.00,0.00
redis.clients.jedis.commands.jedis.HyperLogLogCommandsTest.pfcountBinary,1,76,18,3,1,0.07,21,455,0,0.00,0.00
redis.clients.jedis.commands.jedis.FailoverCommandsTest.abortReplica,1,49,13,2,1,0.05,22,398,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zintercard,1,87,19,3,1,0.08,35,476,0,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.xadd,2,97,24,5,1,0.06,46,573,0,0.00,0.00
redis.clients.jedis.PipeliningTest.canRetrieveUnsetKey,1,82,20,3,1,0.09,13,525,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zrevrangebyscoreWithScores,3,94,23,4,1,0.07,64,531,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSetCommandsTest.sinterstore,0,94,26,5,1,0.02,53,462,1,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterScriptingCommandsTest.testEvalsha,3,127,32,5,1,0.04,54,770,0,0.00,0.00
redis.clients.jedis.JedisPoolTest.returnResourceShouldResetState,1,121,24,3,1,0.04,17,693,1,0.00,0.00
redis.clients.jedis.modules.graph.PathTest.testRandomLengthPath,3,9,4,1,1,0.33,20,36,1,0.00,0.00
redis.clients.jedis.ClusterPipeliningTest.clusterPipelineSet,3,153,36,4,1,0.09,103,793,0,0.00,0.00
redis.clients.jedis.PipeliningTest.testReuseJedisWhenPipelineIsEmpty,1,87,21,3,1,0.07,14,524,0,0.00,0.00
redis.clients.jedis.ProtocolTest.multiBulkReply,1,10,3,2,1,0.06,15,76,1,0.00,0.00
redis.clients.jedis.commands.jedis.AccessControlListCommandsTest.aclSetUserWithAnyPassword,2,67,15,3,1,0.08,19,452,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zscanMatch,1,78,25,7,1,0.04,39,351,1,0.00,0.00
