TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.getEntryState_Exception[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=false; forwarding=false; keepData=true; keepExceptions=true; expiry=true; useObjectKey=false; withExpiryListener=false],0,266,33,5,1,0.00,82,1241,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.peekAll_Null[strict=false; recordRefresh=true; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,223,25,4,1,0.00,100,1051,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.get_NotFresh[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=true; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,177,21,3,1,0.00,76,816,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.initial_Get[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=false; forwarding=false; keepData=false; keepExceptions=false; expiry=false; useObjectKey=false; withExpiryListener=false],0,248,30,4,1,0.00,107,1200,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.CacheLoaderTest.asyncLoader_ExceptionInCall,0,266,29,5,1,0.00,36,1412,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.replace_Null[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=false; forwarding=false; keepData=true; keepExceptions=true; expiry=false; useObjectKey=false; withExpiryListener=false],0,97,17,3,1,0.00,69,379,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.peekAndPut_Null[strict=false; recordRefresh=false; disableStats=false; entryProcessor=true; wired=true; forwarding=false; keepData=false; keepExceptions=false; expiry=false; useObjectKey=false; withExpiryListener=false],0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.putIfAbsent[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=false; expiry=false; useObjectKey=true; withExpiryListener=false],0,247,32,4,1,0.00,73,1246,0,0,0,0,0,0.00,0.00
org.cache2k.core.eviction.ClockProEvictionTest.testEvictHot2,0,365,40,6,1,0.00,187,2119,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.expiry.FastAllMutatorsExpireWiredCacheTest.test[expiryDurationMillis=0;variant=3;sharpExpiry=true;keepData=true],0,367,47,5,1,0.00,268,1979,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.peekAndReplace_Null[strict=false; recordRefresh=true; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=true; keepExceptions=false; expiry=false; useObjectKey=false; withExpiryListener=false],0,195,25,4,1,0.00,77,906,0,0,0,0,0,0.00,0.00
