TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyBar,0,14,4,1,1,0.06,83,168,0,18,41,1,3,0.31,0.25,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyBarInner,0,14,4,1,1,0.06,83,168,0,17,42,0,4,0.29,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyBarInnerWithEmptyString,0,13,4,1,1,0.07,83,156,0,21,37,1,5,0.36,0.17,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyBarInnerWithString,0,13,4,1,1,0.07,83,156,0,20,38,0,6,0.34,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyBarWithEmptyString,0,13,4,1,1,0.05,83,156,0,20,38,2,4,0.34,0.33,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyBarWithString,0,13,4,1,1,0.07,83,156,0,20,38,1,5,0.34,0.17,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyFoo,0,14,4,1,1,0.06,138,168,0,18,41,1,3,0.31,0.25,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyFooInner,0,5,3,1,1,0.24,94,52,0,2,7,0,1,0.22,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyFooInnerWithEmptyString,0,5,3,1,1,0.24,97,52,0,2,7,0,1,0.22,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyFooInnerWithString,0,5,3,1,1,0.24,97,52,0,2,7,0,1,0.22,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyFooWithEmptyString,0,11,4,1,1,0.08,99,106,0,14,23,1,4,0.38,0.2,0,0
io.protostuff.ProtobufBufferedOutputTest.testPartialEmptyFooWithString,0,11,4,1,1,0.1,99,106,0,13,24,0,5,0.35,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testShareFieldNumberAndTypeAndSkipMessage,0,32,4,1,1,0.03,148,333,0,86,93,1,12,0.48,0.08,0,0
io.protostuff.ProtobufCodedOutputTest.testBar,1,25,2,1,1,0.17,313,195,0,75,62,1,9,0.55,0.1,0,0
io.protostuff.ProtobufCodedOutputTest.testBarDelimited,0,23,4,1,1,0.16,312,193,0,70,47,3,7,0.6,0.3,0,0
io.protostuff.ProtobufCodedOutputTest.testBarSkipMessage,1,28,2,1,1,0.15,317,227,0,78,70,3,10,0.53,0.23,0,0
