TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.pitest.mutationtest.MutationStatusMapTest.shouldReturnEmptyListMutationsWhenNoUnrunMutationsPresent,1,5,1,1,1,0.67,9,11,1,0.00,0.00
org.pitest.mutationtest.build.intercept.equivalent.EqualsPerformanceShortcutFilterTest.shouldFilterShortCutEqualsInGenericisedClasses,0,43,11,3,3,0.14,12,137,1,0.00,0.00
org.pitest.mutationtest.verify.DefaultBuildVerifierTest.shouldThrowErrorForClassCompiledWithoutLineNumberDebugInfo,2,16,3,2,2,0.25,11,62,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveIncrementsMutatorTest.shouldProvideAMeaningfulName,0,1,1,1,1,1.00,3,1,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.blocks.BlockTrackingMethodDecoratorTest.shouldForwardVisitCodeCallsToChild,1,11,4,2,2,0.00,11,89,1,0.00,0.00
org.pitest.junit.adapter.AdaptingRunListenerTest.shouldReportStartedTests,2,2,2,2,2,0.57,9,18,1,0.00,0.00
org.pitest.coverage.execute.CoverageOptionsTest.shouldExcludeExcludedClasses,1,17,6,5,3,0.06,4,79,1,0.00,0.00
org.pitest.mutationtest.incremental.ObjectOutputStreamHistoryStoreTest.shouldReadCorruptFiles,2,12,3,2,1,0.40,24,76,1,0.00,0.00
org.pitest.maven.PitMojoTest.testEmptyClasspathDependencyExcludeIsIgnored,1,3,1,1,1,0.29,39,15,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest.shouldNotReplaceIFLT_EQUAL_F,2,128,33,13,7,0.02,41,480,1,0.00,0.00
org.pitest.classpath.CompoundClassPathRootTest.shouldNotQueryHeavyRootsForClassesTheyDoNotContain,1,12,4,3,3,0.12,11,61,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutatorTest.shouldReplaceInteger1With0,2,175,36,13,7,0.06,109,673,1,0.00,0.00
org.pitest.bytecode.analysis.InstructionMatchersTest.shouldCaptureLabels,0,17,8,2,2,0.25,7,40,1,0.00,0.00
org.pitest.mutationtest.commandline.CommaAwareArgsProcessorTest.parseArgs[0],1,1,1,1,1,1.00,12,10,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testParsesListOfMutationOperators,2,69,2,1,1,0.08,55,208,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.AvoidAssertsMethodAdapterTest.shouldForwardVisitAttributeCallsToChild,1,0,0,0,0,0.00,11,3,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.TestGregorMutater.shouldRecordMutationsAsInDifferentBlocksWhenInExceptionHandler,1,132,32,13,7,0.02,42,494,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.MethodInfoTest.takesNoParametersShouldReturnFalseWhenMethodTakesOneParameter,0,2,1,1,1,1.00,4,8,1,0.00,0.00
org.pitest.mutationtest.commandline.OptionsParserTest.shouldDetermineIfSuppressTimestampedReportsFlagIsSet,1,9,3,1,1,0.01,18,276,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.AvoidAssertsMethodAdapterTest.shouldForwardVisitLookupSwitchInsnToChild,1,0,0,0,0,0.00,16,3,0,0.00,0.00
org.pitest.functional.FArrayTest.shouldReturnOnlyMatchesToPredicate,0,2,1,1,1,0.38,5,8,1,0.00,0.00
org.pitest.junit.JUnitCustomRunnerTestUnitFinderTest.shouldCreateSingleAtomicUnitWhenAnyMethodAnnotatedWithClassRule,2,24,7,5,4,0.12,8,103,1,0.00,0.00
org.pitest.dependency.IgnoreCoreClassesTest.shouldIgnorePowerMock,3,14,7,5,3,0.05,7,64,1,0.00,0.00
org.pitest.mutationtest.commandline.CommaAwareArgsProcessorTest.parseArgs[1],1,4,1,1,1,0.19,12,39,1,0.00,0.00
org.pitest.mutationtest.build.AnalyisPriorityComparatorTest.shouldPrioritiseLargestFirst,0,1,1,1,1,0.00,10,1,0,0.00,0.00
org.pitest.coverage.CoverageTransformerTest.shouldGenerateValidClasses,1,94,21,9,8,0.03,22,472,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testParsesFullMutationMatrix,2,69,2,1,1,0.08,54,208,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest.shouldNotReplaceIF_ICMPGT_EQUAL_F,2,128,33,13,7,0.02,41,480,1,0.00,0.00
org.pitest.mutationtest.report.html.MutationTestSummaryDataTest.shouldReturnCorrectNumberOfLinesWhenCombiningResultsForDifferentClasses,1,16,2,1,1,0.38,13,59,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutatorTest.shouldNegateArgumentsToIInc,2,176,36,13,7,0.06,110,632,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest.shouldNotReplaceIF_ICMPLE_EQUAL_T,2,128,33,13,7,0.02,41,480,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest.shouldNotReplaceIFGE_EQUAL_T,2,128,33,13,7,0.02,41,480,1,0.00,0.00
org.pitest.util.TimeSpanTest.shouldReportTimesInMinutesWhenMoreThanOneMinute,1,2,1,1,1,0.92,3,16,1,0.00,0.00
