TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
com.helger.collection.single.SingleElementListTest.testIterate,2,19,4,2,2,0.67,55,75,1,31,8,7,4,0.79,0.64,1,0
com.helger.collection.single.SingleElementListTest.testRetainAll,1,3,1,1,1,0.7,9,14,1,7,0,4,0,1,1,1,1
com.helger.collection.single.SingleElementListTest.testStdMethods,1,5,1,1,1,0.65,12,27,1,9,7,5,0,0.56,1,0,1
com.helger.collection.single.SingleElementListTest.testSubList,1,8,1,1,1,0.23,23,35,1,17,3,5,0,0.85,1,1,1
com.helger.collection.single.SingleElementMapTest.testCollections,1,5,1,1,1,0,17,16,1,6,3,3,1,0.67,0.75,0,0
com.helger.collection.single.SingleElementMapTest.testEmptyCtor,1,4,1,1,1,0,11,9,1,2,3,0,1,0.4,0,0,0
com.helger.collection.single.SingleElementMapTest.testEquals,1,3,1,1,1,0,20,16,1,6,2,5,1,0.75,0.83,1,0
com.helger.collection.single.SingleElementMapTest.testNonEmptyCtor,1,8,1,1,1,0,18,24,1,8,3,4,1,0.73,0.8,1,0
com.helger.collection.single.SingleElementMapTest.testPut,1,5,1,1,1,0,29,21,1,7,2,3,1,0.78,0.75,1,0
com.helger.collection.single.SingleElementMapTest.testRemove,1,5,1,1,1,0,10,21,1,5,4,2,2,0.56,0.5,0,0
com.helger.collection.wrapped.WrappedListTest.testList,1,26,1,1,1,0,46,31,1,20,16,5,0,0.56,1,0,1
com.helger.commons.aggregate.IAggregatorTest.testGetStringCombinator,0,17,9,7,1,0.02,8,68,1,17,20,0,0,0.46,0,0,0
com.helger.commons.aggregate.IAggregatorTest.testGetStringCombinatorIgnoreNull,0,18,8,6,1,0.02,9,70,1,18,21,1,0,0.46,1,0,1
com.helger.commons.aggregate.IAggregatorTest.testGetStringCombinatorWithSeparatorChar,0,19,9,7,1,0.03,9,71,1,23,16,0,0,0.59,0,0,0
com.helger.commons.aggregate.IAggregatorTest.testGetStringCombinatorWithSeparatorIgnoreEmptyChar,0,20,8,6,1,0.03,9,73,1,24,17,1,0,0.59,1,0,1
com.helger.commons.aggregate.IAggregatorTest.testGetStringCombinatorWithSeparatorIgnoreEmptyString,0,19,8,6,1,0.03,9,72,1,23,17,0,0,0.57,0,0,0
com.helger.commons.aggregate.IAggregatorTest.testGetStringCombinatorWithSeparatorString,0,18,9,7,1,0.03,9,70,1,22,16,0,0,0.58,0,0,0
com.helger.commons.aggregate.IAggregatorTest.testUseFirst,2,7,5,3,2,0,14,15,0,7,7,0,0,0.5,0,0,0
com.helger.commons.aggregate.IAggregatorTest.testUseLast,2,7,5,3,2,0,14,20,0,7,7,0,0,0.5,0,0,0
com.helger.commons.base64.Base64Test.testDecodeFileToFile,0,71,23,7,1,0.06,12,518,1,126,158,4,16,0.44,0.2,0,0
com.helger.commons.base64.Base64Test.testDecodeToFile,0,60,22,7,1,0.08,10,418,1,104,124,5,9,0.46,0.36,0,0
com.helger.commons.base64.Base64Test.testEncodeByteBuffer,0,15,2,2,1,0.13,6,118,1,52,40,1,2,0.57,0.33,0,0
com.helger.commons.base64.Base64Test.testEncodeBytes,0,19,2,2,1,0.12,9,180,1,77,59,1,7,0.57,0.12,0,0
com.helger.commons.base64.Base64Test.testEncodeBytesGZIP,0,34,6,4,1,0.01,6,279,1,91,72,7,9,0.56,0.44,0,0
com.helger.commons.base64.Base64Test.testEncodeByteToByte,0,16,2,2,1,0.05,5,153,1,64,55,1,4,0.54,0.2,0,0
com.helger.commons.base64.Base64Test.testEncodeCharBuffer,0,16,2,2,1,0.12,6,136,1,59,43,4,3,0.58,0.57,0,0
com.helger.commons.base64.Base64Test.testEncodeDecodeCharset,0,25,2,2,1,0.06,8,195,1,77,60,0,6,0.56,0,0,0
com.helger.commons.base64.Base64Test.testEncodeFileToFile,0,71,23,7,1,0.06,12,520,1,133,155,6,15,0.46,0.29,0,0
com.helger.commons.base64.Base64Test.testEncodeToFile,0,61,22,7,1,0.09,10,421,1,111,122,2,11,0.48,0.15,0,0
com.helger.commons.base64.Base64Test.testEncodeWithBreakLines,2,42,13,7,1,0.06,11,320,1,115,107,6,10,0.52,0.38,0,0
com.helger.commons.base64.Base64Test.testSafeDecode,0,17,2,2,1,0.02,8,106,1,37,32,1,1,0.54,0.5,0,0
com.helger.commons.base64.Base64Test.testStreams_0_100,4,33,7,4,1,0.1,24,274,1,126,67,4,7,0.65,0.36,0,0
com.helger.commons.base64.Base64Test.testStreams_100_2000,4,33,7,4,1,0.1,24,274,1,123,69,4,7,0.64,0.36,0,0
com.helger.commons.base64.Base64Test.testStreams_2000_80000,4,33,7,4,1,0.1,24,274,1,123,68,4,7,0.64,0.36,0,0
com.helger.commons.cache.AnnotationUsageCacheTest.testConcurrency,2,19,9,7,1,0.21,25,72,1,10,30,0,5,0.25,0,0,0
com.helger.commons.cache.MappedCacheTest.testMaxSize,1,36,12,8,1,0.19,14,151,1,38,41,4,5,0.48,0.44,0,0
