TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.junit.tests.experimental.max.DescriptionTest.createSuiteDescription_whenZeroLength,0,49,19,7,1,0.00,1,226,1,0,0,0,0,0.00,0.00
junit.tests.framework.TestCaseTest.testError,1,44,12,4,3,0.06,31,180,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.primitiveArraysConvertedToStringCorrectly,0,65,23,8,1,0.05,28,298,0,0,0,0,0,0.00,0.00
org.junit.tests.running.methods.TimeoutTest.testGetTimeout,2,222,67,12,1,0.01,25,896,1,0,0,0,0,0.00,0.00
org.junit.rules.ClassRulesTest.ruleIsAppliedOnce,0,214,67,12,1,0.00,30,828,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.AssumptionTest.failedAssumptionsWithMessage,2,214,62,11,1,0.01,15,847,0,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testSimpleNegate,0,67,26,9,2,0.01,72,254,0,0,0,0,0,0.00,0.00
org.junit.tests.description.TestDescriptionMethodNameTest.methodNameTest[7],0,62,21,8,1,0.03,25,240,0,0,0,0,0,0.00,0.00
org.junit.internal.runners.statements.FailOnTimeoutTest.notLookingForStuckThread_usesSameThreadGroup[lookingForStuckThread = true],0,58,22,7,1,0.00,22,254,0,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testSimpleBagAdd,0,67,26,9,2,0.01,99,254,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.MatcherTest.differentMatchersHaveDifferentDescriptions,1,144,46,10,1,0.01,10,577,0,0,0,0,0,0.00,0.00
junit.tests.runner.ResultTest.testRunAssumptionFailedResultCanBeReserialised_v4_12,2,228,63,12,2,0.02,70,916,1,0,0,0,0,0.00,0.00
org.junit.tests.junit3compatibility.SuiteMethodTest.makeSureSuiteNotUsedWithJUnit4Classes2,1,247,72,14,2,0.01,32,963,1,0,0,0,0,0.00,0.00
org.junit.experimental.categories.MultiCategoryTest.runSuite,0,223,63,13,1,0.01,9,918,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.charsNotEqual,0,53,19,7,1,0.00,19,232,0,0,0,0,0,0.00,0.00
